,index,x,y,radius,angleStart,angleEnd,Rotation,x_start,y_start,x_end,y_end,length,start_node,end_node,speed_limit,adjusted_length
0,A1,1.858,-3.686,0.61,-1.5708,0.0,CCW,1.86,-4.3,2.47,-3.69,0.958188,0,83,15,0.06387919982274373
1,A2,0.228,-3.986,0.3,-3.1416,-1.5708,CCW,-0.07,-3.99,0.23,-4.3,0.47124,1,91,15,0.031416000922520955
2,A3,-0.232,-3.986,0.3,-1.5708,0.0,CCW,-0.23,-4.3,0.08,-3.99,0.47124,2,101,15,0.031416000922520955
3,A4,-1.802,-3.986,0.3,-3.1416,-1.5708,CCW,-2.11,-3.99,-1.8,-4.3,0.47124,3,93,15,0.031416000922520955
4,A5,-2.262,-3.986,0.3,-1.5708,0.0,CCW,-2.26,-4.3,-1.96,-3.99,0.47124,4,7,15,0.031416000922520955
5,A6,-2.262,-3.686,0.61,-3.1416,-1.5708,CCW,-2.87,-3.68,-2.26,-4.3,0.958188,5,4,15,0.06387919982274373
6,A7,-2.262,-3.686,0.46,-1.5708,-3.1416,CW,-2.26,-4.14,-2.72,-3.69,0.722568,6,113,15,0.04817119836807251
7,A8,-2.262,-3.986,0.15,0.0,-1.5708,CW,-2.11,-3.99,-2.26,-4.14,0.23562,3,6,15,0.015708000461260477
8,A9,-1.802,-3.986,0.15,-3.1416,-1.5708,CCW,-1.96,-3.99,-1.8,-4.14,0.23562,7,95,15,0.015708000461260477
9,A10,-0.232,-3.986,0.15,0.0,-1.5708,CW,-0.07,-3.99,-0.23,-4.14,0.23562,1,94,15,0.015708000461260477
10,A11,0.228,-3.986,0.15,-1.5708,-3.1416,CW,0.23,-4.14,0.08,-3.99,0.23562,8,101,15,0.015708000461260477
11,A12,1.858,-3.686,0.46,0.0,-1.5708,CW,2.31,-3.61,1.86,-4.15,0.722568,9,92,15,0.04817119836807251
12,A13,2.158,-3.146,0.3,-1.5708,0.0,CCW,2.16,-3.46,2.47,-3.15,0.47124,10,105,15,0.031416000922520955
13,A14,2.158,-3.146,0.15,0.0,-1.5708,CW,2.31,-3.15,2.16,-3.3,0.23562,11,104,15,0.015708000461260477
14,A15,0.938,-2.846,0.46,-0.1553,-1.5708,CW,1.4,-2.92,0.94,-3.31,0.65112996,12,103,15,0.04340866406758626
15,A16,0.228,-3.606,0.3,1.5708,3.1416,CCW,0.18,-3.31,-0.07,-3.61,0.47124,13,100,15,0.031416000922520955
16,A17,0.228,-3.606,0.15,3.1416,1.5708,CW,0.08,-3.61,0.23,-3.46,0.23562,14,102,15,0.015708000461260477
17,A18,-0.232,-3.606,0.3,0.0,1.5708,CCW,0.08,-3.61,-0.23,-3.31,0.47124,14,98,15,0.031416000922520955
18,A19,-0.232,-3.606,0.15,1.5708,0.0,CW,-0.23,-3.46,-0.07,-3.61,0.23562,15,100,15,0.015708000461260477
19,A20,-1.802,-3.606,0.3,1.5708,3.1416,CCW,-1.8,-3.3,-2.11,-3.61,0.47124,16,96,15,0.031416000922520955
20,A21,-1.802,-3.606,0.15,3.1416,1.5708,CW,-1.95,-3.61,-1.8,-3.45,0.23562,17,97,15,0.015708000461260477
21,A22,-1.802,-3.146,0.3,-3.1416,-1.5708,CCW,-2.11,-3.16,-1.8,-3.45,0.47124,18,97,15,0.031416000922520955
22,A23,-1.802,-3.146,0.15,-1.5708,-3.1416,CW,-1.8,-3.3,-1.95,-3.15,0.23562,16,111,15,0.015708000461260477
23,A24,-0.232,-3.146,0.3,-1.5708,0.0,CCW,-0.23,-3.46,0.08,-3.15,0.47124,15,107,15,0.031416000922520955
24,A25,-0.232,-3.146,0.15,0.0,-1.5708,CW,-0.07,-3.14,-0.23,-3.31,0.23562,19,98,15,0.015708000461260477
25,A26,0.228,-3.146,0.3,-3.1416,-1.5708,CCW,-0.07,-3.14,0.23,-3.46,0.47124,19,102,15,0.031416000922520955
26,A27,0.228,-3.146,0.15,-1.5708,-3.1416,CW,0.18,-3.31,0.08,-3.15,0.23562,13,107,15,0.015708000461260477
27,A28,1.848,-2.986,0.46,1.7261,2.9864,CCW,1.77,-2.54,1.4,-2.92,0.57973796,20,12,15,0.03864919741948446
28,A29,1.698,-2.086,0.46,0.0,-1.4155,CW,2.16,-2.08,1.77,-2.54,0.65113,21,20,15,0.04340866804122925
29,A30,1.318,-2.696,0.99,0.4475,0.0878,CW,2.23,-2.27,2.31,-2.6,0.356103,22,106,15,0.02374020020167033
30,A31,3.458,-2.696,0.99,3.0538,2.6941,CW,2.47,-2.61,2.57,-2.27,0.3561032,23,24,15,0.023740214109420777
31,A32,2.308,-2.086,0.3,-0.6288,0.0,CCW,2.57,-2.27,2.61,-2.09,0.18864,24,124,15,0.012575999895731608
32,A33,2.468,-2.086,0.3,-3.1416,-2.5128,CCW,2.16,-2.08,2.23,-2.27,0.18863998,21,22,15,0.012575998902320862
33,A34,-1.672,-2.766,0.61,0.0,1.5708,CCW,-1.06,-2.77,-1.67,-2.16,0.958188,25,116,15,0.06387919982274373
34,A35,-1.672,-2.766,0.46,1.5708,0.0,CW,-1.66,-2.32,-1.21,-2.77,0.722568,26,110,15,0.04817119836807251
35,A36,-1.802,-2.466,0.3,1.5708,3.1416,CCW,-1.81,-2.16,-2.11,-2.47,0.47124,27,112,15,0.031416000922520955
36,A37,-1.802,-2.466,0.15,3.1416,1.5708,CW,-1.95,-2.46,-1.8,-2.32,0.23562,28,115,15,0.015708000461260477
37,A38,-2.262,-2.466,0.3,0.0,1.5708,CCW,-1.95,-2.46,-2.26,-2.16,0.47124,28,31,15,0.031416000922520955
38,A39,-2.262,-2.466,0.15,1.5708,0.0,CW,-2.26,-2.31,-2.11,-2.47,0.23562,29,112,15,0.015708000461260477
39,A40,-2.262,-2.766,0.46,3.1416,1.5708,CW,-2.72,-2.78,-2.26,-2.31,0.722568,30,29,15,0.04817119836807251
40,A41,-2.262,-2.766,0.61,1.5708,3.1416,CCW,-2.26,-2.16,-2.87,-2.77,0.958188,31,114,15,0.06387919982274373
41,A42,-2.262,-2.006,0.3,-1.5708,0.0,CCW,-2.26,-2.31,-1.95,-2.01,0.47124,29,118,15,0.031416000922520955
42,A43,-2.262,-2.006,0.15,0.0,-1.5708,CW,-2.11,-2.01,-2.26,-2.16,0.23562,32,31,15,0.015708000461260477
43,A44,-1.802,-2.006,0.3,-3.1416,-1.5708,CCW,-2.11,-2.01,-1.8,-2.32,0.47124,32,115,15,0.031416000922520955
44,A45,-1.802,-2.006,0.15,-1.5708,-3.1416,CW,-1.81,-2.16,-1.95,-2.01,0.23562,27,118,15,0.015708000461260477
45,A46,2.008,-1.596,0.46,0.0,1.5708,CCW,2.47,-1.61,2.01,-1.14,0.722568,33,127,15,0.04817119836807251
46,A47,2.008,-1.596,0.61,0.0,1.5708,CCW,2.62,-1.61,2.01,-0.99,0.958188,34,128,15,0.06387919982274373
47,A48,2.008,-0.836,0.61,-1.5708,0.0,CCW,2.01,-1.45,2.62,-0.84,0.958188,35,141,15,0.06387919982274373
48,A49,2.008,-0.836,0.46,-1.5708,0.0,CCW,2.01,-1.3,2.47,-0.84,0.722568,36,142,15,0.04817119836807251
49,A50,2.008,-1.596,0.15,1.5708,0.0,CW,2.01,-1.45,2.16,-1.6,0.23562,35,122,15,0.015708000461260477
50,A51,2.008,-1.596,0.3,1.5708,0.0,CW,2.01,-1.3,2.31,-1.6,0.47124,36,123,15,0.031416000922520955
51,A52,2.008,-0.836,0.3,0.0,-1.5708,CW,2.31,-0.85,2.01,-1.14,0.47124,37,127,15,0.031416000922520955
52,A53,2.008,-0.836,0.15,0.0,-1.5708,CW,2.16,-0.85,2.01,-0.99,0.23562,38,128,15,0.015708000461260477
53,A54,0.378,-1.596,0.61,1.5708,3.1416,CCW,0.38,-0.99,-0.23,-1.6,0.958188,39,119,15,0.06387919982274373
54,A55,0.378,-1.596,0.46,1.5708,3.1416,CCW,0.38,-1.15,-0.07,-1.6,0.722568,40,120,15,0.04817119836807251
55,A56,0.378,-1.596,0.3,3.1416,1.5708,CW,0.08,-1.61,0.38,-1.3,0.47124,41,125,15,0.031416000922520955
