,index,x,y,x_start,y_start,x_end,y_end,length,start_node,end_node,speed_limit,adjusted_length
123,S1,0.228,-4.296,0.23,-4.3,1.86,-4.3,1.63,91,0,30,0.05433333317438761
124,S2,1.858,-4.136,1.86,-4.15,0.23,-4.14,1.63,92,8,30,0.05433333317438761
125,S3,-0.232,-4.296,-0.23,-4.3,0.23,-4.3,0.46,2,91,30,0.015333333611488342
126,S4,0.228,-4.136,0.23,-4.14,-0.23,-4.14,0.46,8,94,30,0.015333333611488342
127,S5,-1.802,-4.296,-1.8,-4.3,-0.23,-4.3,1.57,93,2,30,0.052333335081736244
128,S6,-0.232,-4.136,-0.23,-4.14,-1.8,-4.14,1.57,94,95,30,0.052333335081736244
129,S7,-2.262,-4.296,-2.26,-4.3,-1.8,-4.3,0.46,4,93,30,0.015333333611488342
130,S8,-1.802,-4.136,-1.8,-4.14,-2.26,-4.14,0.46,95,6,30,0.015333333611488342
131,S9,-2.112,-3.606,-2.11,-3.61,-2.11,-3.99,0.38,96,3,30,0.012666666507720947
132,S10,-1.952,-3.986,-1.96,-3.99,-1.95,-3.61,0.38,7,17,30,0.012666666507720947
133,S11,-1.952,-3.606,-1.95,-3.61,-1.95,-3.15,0.46,17,111,30,0.015333333611488342
134,S12,-2.112,-3.146,-2.11,-3.16,-2.11,-3.61,0.46,18,96,30,0.015333333611488342
135,S13,-1.802,-3.456,-1.8,-3.45,-0.23,-3.46,1.57,97,15,30,0.052333335081736244
136,S141,-0.232,-3.296,-0.23,-3.31,-0.91,-3.3,0.68,98,84,30,0.022666666905085245
137,S142,-0.91,-3.296,-0.91,-3.3,-1.37,-3.3,0.46,84,99,30,0.015333333611488342
138,S143,-1.37,-3.296,-1.37,-3.3,-1.8,-3.3,0.43,99,16,30,0.014333333571751912
139,S15,-0.072,-3.606,-0.07,-3.61,-0.07,-3.99,0.38,100,1,30,0.012666666507720947
140,S16,0.078,-3.986,0.08,-3.99,0.08,-3.61,0.38,101,14,30,0.012666666507720947
141,S17,-0.072,-3.146,-0.07,-3.14,-0.07,-3.61,0.46,19,100,30,0.015333333611488342
142,S18,0.078,-3.606,0.08,-3.61,0.08,-3.15,0.46,14,107,30,0.015333333611488342
143,S19,0.228,-3.306,0.18,-3.31,-0.23,-3.31,0.46,13,98,30,0.015333333611488342
144,S20,-0.232,-3.456,-0.23,-3.46,0.23,-3.46,0.46,15,102,30,0.015333333611488342
145,S21,0.228,-3.456,0.23,-3.46,2.16,-3.46,1.93,102,10,30,0.06433333158493042
146,S22 ,0.938,-3.306,0.94,-3.31,0.18,-3.31,0.76,103,13,30,0.025333333015441894
147,S23,2.158,-3.306,2.16,-3.3,0.94,-3.31,1.22,104,103,30,0.040666667620340984
148,S26,2.468,-3.606,2.47,-3.69,2.47,-3.15,0.46,83,105,30,0.015333333611488342
149,S27,2.308,-3.146,2.31,-3.15,2.31,-3.61,0.46,11,9,30,0.015333333611488342
150,S28,2.468,-3.146,2.47,-3.15,2.47,-2.61,0.54,105,23,30,0.01800000071525574
151,S29,2.308,-2.606,2.31,-2.6,2.31,-3.15,0.54,106,11,30,0.01800000071525574
152,S30,0.078,-3.146,0.08,-3.15,0.08,-2.61,0.54,107,87,30,0.01800000071525574
153,S31,-0.072,-2.596,-0.07,-2.6,-0.07,-3.14,0.54,108,19,30,0.01800000071525574
154,S32,-1.062,-3.146,-1.06,-3.15,-1.06,-2.77,0.38,109,25,30,0.012666666507720947
155,S33,-1.222,-2.766,-1.21,-2.77,-1.22,-3.15,0.38,110,85,30,0.012666666507720947
156,S34,-1.952,-3.146,-1.95,-3.15,-1.95,-2.46,0.69,111,28,30,0.02299999992052714
157,S35,-2.112,-2.466,-2.11,-2.47,-2.11,-3.16,0.69,112,18,30,0.02299999992052714
158,S36,-2.722,-3.686,-2.72,-3.69,-2.72,-2.78,0.91,113,30,30,0.03033333420753479
159,S37,-2.872,-2.766,-2.87,-2.77,-2.87,-3.68,0.91,114,5,30,0.03033333420753479
160,S38,-2.112,-2.006,-2.11,-2.01,-2.11,-2.47,0.46,32,112,30,0.015333333611488342
161,S39,-1.802,-2.156,-1.81,-2.16,-2.26,-2.16,0.46,27,31,30,0.015333333611488342
162,S40,-1.952,-2.466,-1.95,-2.46,-1.95,-2.01,0.46,28,118,30,0.015333333611488342
163,S41,-2.262,-2.316,-2.26,-2.31,-1.8,-2.32,0.46,29,115,30,0.015333333611488342
164,S42,-1.802,-2.316,-1.8,-2.32,-1.66,-2.32,0.14,115,26,30,0.004666666686534882
165,S43,-1.672,-2.156,-1.67,-2.16,-1.81,-2.16,0.14,116,27,30,0.004666666686534882
